Transaction_ID,Customer_ID,Time_ID,Location_ID,Device_ID,Account_ID,Transaction_Type_ID,Recent_Transaction_Amount,Risk_Score,Is_Fraudulent
TXN000092,CUST00666,89,4,3,90,1,2145.453577,0.245,0
TXN000093,CUST00304,90,10,3,91,4,2257.379312,0.105,0
TXN000094,CUST00884,91,5,2,92,1,1741.300203,0.598,0
TXN000095,CUST00264,92,10,3,64,5,3620.342958,0.503,0
TXN000096,CUST00053,93,4,3,93,4,4968.836035,0,0
TXN000097,CUST00891,94,5,1,94,5,4833.653346,0.157,0
TXN000098,CUST00967,95,10,2,95,1,2935.101466,0.46,0
TXN000099,CUST00489,96,2,3,96,4,420.4801215,0.272,0
TXN000100,CUST00021,97,8,2,97,5,4884.368885,0.002,0
TXN000101,CUST00730,98,8,3,98,4,3065.685519,0.55,0
TXN000102,CUST00871,99,9,3,99,5,4509.186773,0.179,0
TXN000103,CUST00974,100,1,2,100,5,4985.118352,0.67,0
TXN000104,CUST00786,101,3,3,101,4,2713.790992,0.081,0
TXN000105,CUST00973,102,3,1,102,2,646.5415804,0.029,0
TXN000106,CUST00521,103,9,2,103,4,2344.965624,0.378,0
TXN000107,CUST00106,104,7,2,104,4,1570.145318,0.444,0
TXN000108,CUST00984,36,2,2,11,2,4540.868007,0.454,0
TXN000109,CUST00154,105,7,2,105,2,3305.803635,0.726,0
TXN000110,CUST00023,106,4,3,106,3,2978.135753,0.266,0
TXN000111,CUST00050,107,1,2,82,4,2556.141713,0.401,0
TXN000112,CUST00825,108,7,3,107,4,2791.407375,0.506,0
TXN000113,CUST00897,109,7,2,108,3,2653.926886,0.445,0
TXN000114,CUST00446,110,7,2,109,2,447.9997241,0.292,0
TXN000115,CUST00922,111,9,2,110,1,1298.863168,0.066,0
TXN000116,CUST00607,5,9,2,111,2,2231.13912,0.321,0
TXN000117,CUST00826,112,9,2,112,2,3603.785263,0.166,0
TXN000118,CUST00110,113,10,2,113,1,908.9207684,0.328,0
TXN000119,CUST00720,114,3,2,114,1,2582.363703,0.106,0
TXN000120,CUST00395,115,7,1,115,4,4025.95809,0,0
TXN000121,CUST00677,89,4,3,116,5,1539.891434,0.377,0
TXN000122,CUST00677,116,1,2,116,4,1261.168512,0.227,0
TXN000123,CUST00042,110,10,1,117,2,1979.296624,0.472,0
TXN000124,CUST00163,117,1,1,118,3,1297.259859,0.308,0
TXN000125,CUST00860,118,10,2,119,2,785.1542558,0.239,0
TXN000126,CUST00098,112,5,2,120,2,4974.638333,0.203,0
TXN000127,CUST00315,119,6,3,121,5,4866.215889,0.5,0
TXN000128,CUST00466,120,8,2,122,4,1785.284484,0.231,0
TXN000129,CUST00137,121,2,1,123,4,3704.851057,0.339,0
TXN000130,CUST00463,122,6,2,124,5,3564.354283,0.356,0
TXN000131,CUST00995,123,3,3,125,4,1203.980565,0.269,0
TXN000132,CUST00562,124,4,1,126,3,2326.589788,0.209,0
TXN000133,CUST00024,125,10,3,127,1,4087.856507,0.371,0
TXN000134,CUST00541,126,4,2,128,2,1866.474373,0.242,0
TXN000135,CUST00999,127,1,2,9,4,1662.596615,0.145,0
TXN000136,CUST00136,128,7,2,129,2,1004.639446,0,0
TXN000137,CUST00408,129,10,2,130,5,4883.47467,0.51,0
TXN000138,CUST00085,130,7,3,49,1,1348.28276,0,0
TXN000139,CUST00254,131,10,2,131,4,3927.86782,0.245,0
TXN000140,CUST00077,132,3,1,132,3,686.2763375,0.6,0
TXN000141,CUST00070,11,1,2,133,4,2522.192352,0.492,0
TXN000142,CUST00031,133,10,3,134,5,1928.389673,0,0
TXN000143,CUST00799,134,9,3,135,5,3887.079352,0.291,0
TXN000144,CUST00346,135,4,1,136,1,21.40603341,0.373,0
TXN000145,CUST00740,136,1,2,137,4,1190.773609,0.272,0
TXN000146,CUST00064,137,1,3,138,5,2802.453472,0.323,0
TXN000147,CUST00582,138,5,2,139,1,2852.53695,0.237,0
TXN000148,CUST00548,139,7,3,140,2,4906.016928,0.242,0
TXN000149,CUST00544,140,5,3,141,5,974.004641,0.373,0
TXN000150,CUST00026,141,10,1,142,1,3133.159989,0.046,0
TXN000151,CUST00048,142,10,1,143,3,2065.928343,0.357,0
TXN000152,CUST00891,143,5,2,94,2,3459.544074,0.506,0
TXN000153,CUST00342,144,3,1,144,4,3064.318472,0.358,0
TXN000154,CUST00396,145,2,3,145,4,1428.369643,0.467,0
TXN000155,CUST00398,146,3,2,146,4,3743.454797,0.302,0
TXN000156,CUST00504,147,10,2,147,2,3942.287141,0.514,0
TXN000157,CUST00729,31,8,1,148,1,563.8304785,0.161,0
TXN000158,CUST00851,148,6,2,149,4,3768.884845,0.007,0
TXN000159,CUST00585,149,3,3,150,5,3187.706066,0.341,0
TXN000160,CUST00271,150,9,1,151,5,3682.25378,0.587,0
TXN000161,CUST00384,151,10,1,152,4,2050.61987,0.377,0
TXN000162,CUST00115,75,6,3,73,2,3500.368366,0.182,0
TXN000163,CUST00486,152,7,1,153,2,4828.38278,0.395,0
TXN000164,CUST00466,153,4,2,122,4,4824.284837,0,0
TXN000165,CUST00583,154,5,2,154,1,1856.38018,0.217,0
TXN000166,CUST00222,155,2,1,155,1,4417.739738,0.593,0
TXN000167,CUST00339,156,1,3,156,2,1895.782176,0.366,0
TXN000168,CUST00663,157,3,1,157,2,2560.424883,0.257,0
TXN000169,CUST00558,158,9,3,158,3,515.5411468,0,0
TXN000170,CUST00094,159,6,2,55,2,937.8284916,0.194,0
TXN000171,CUST00287,160,3,3,159,1,2291.797266,0.223,0
TXN000172,CUST00128,161,3,1,160,2,227.2519114,0.223,0
TXN000173,CUST00146,162,3,1,161,2,3923.74955,0.599,0
TXN000174,CUST00768,98,3,2,162,4,3659.528724,0.192,0
TXN000175,CUST00342,163,6,2,144,5,1534.595437,0.291,0
TXN000176,CUST00747,164,7,1,163,3,3121.031887,0.346,0
TXN000177,CUST00591,49,8,1,164,5,1395.534968,0.454,0
TXN000178,CUST00080,165,10,1,165,4,3687.062079,0.023,0
TXN000179,CUST00986,166,9,3,166,3,3034.105445,0.38,0
TXN000180,CUST00601,167,8,2,167,4,1503.588394,0.37,0
TXN000181,CUST00407,168,10,1,168,3,2597.125307,0.217,0
TXN000182,CUST00426,169,5,1,169,1,4080.86085,0,0
TXN000183,CUST00225,170,3,3,170,2,329.4510487,0.407,0
TXN000184,CUST00013,171,1,3,171,3,339.6219253,0.355,0
TXN000185,CUST00301,172,6,2,172,5,2738.300315,0.25,0
TXN000186,CUST00718,74,3,2,173,1,1411.520133,0.042,0
TXN000187,CUST00825,173,1,2,107,3,963.5289661,0.332,0
TXN000188,CUST00554,174,8,2,174,3,2988.686273,0.206,0
TXN000189,CUST00160,175,3,3,175,1,2375.801674,0.229,0
TXN000190,CUST00356,176,2,1,176,3,3801.361248,0.089,0
TXN000191,CUST00144,177,1,3,177,1,2396.106122,0.551,0
TXN000192,CUST00981,178,2,3,178,2,90.22405742,0.061,0
TXN000193,CUST00665,179,3,2,179,4,1746.318474,0.434,0
TXN000194,CUST00939,180,4,1,180,1,229.6591963,0.1,0
TXN000195,CUST00478,120,6,3,181,2,2104.290135,0.188,0
TXN000196,CUST00900,181,5,1,182,2,3502.151884,0.559,0
TXN000197,CUST00533,182,3,2,183,1,4249.210556,0.413,0
TXN000198,CUST00684,183,6,2,81,2,4295.461812,0.317,0
TXN000199,CUST00881,184,3,3,184,2,4936.505648,0,0
TXN000200,CUST00345,185,5,1,185,1,4910.009808,0.208,0
TXN000201,CUST00895,186,6,2,186,2,2137.365488,0.437,0
TXN000202,CUST00949,187,7,1,187,4,4369.262765,0.105,0
TXN000203,CUST00554,188,9,1,174,3,396.5896592,0.369,0
TXN000204,CUST00661,189,9,3,188,2,4542.528234,0.028,0
TXN000205,CUST00805,190,10,3,189,5,3861.984211,0.132,0
TXN000206,CUST00992,191,9,3,190,1,2348.532638,0.477,0
TXN000207,CUST00169,192,8,1,8,2,268.2569637,0.321,0
TXN000208,CUST00453,187,6,2,191,5,2693.76548,0.408,0
TXN000209,CUST00887,193,1,1,192,5,2976.98175,0.187,0
TXN000210,CUST00356,194,8,3,176,4,954.5124058,0.365,0
TXN000211,CUST00559,195,7,1,193,2,1251.59131,0,0
TXN000212,CUST00236,196,10,1,194,4,288.5185469,0.588,0
TXN000213,CUST00987,105,2,3,195,5,979.1190628,0.095,0
TXN000214,CUST00105,59,8,2,196,2,510.6972254,0.119,0
TXN000215,CUST00622,197,4,3,197,1,508.2163381,0.467,0
TXN000216,CUST00368,198,2,1,20,1,1108.17832,0.08,0
TXN000217,CUST00313,199,4,2,198,3,4178.465701,0.51,0
TXN000218,CUST00539,200,7,1,199,1,2947.860566,0.158,0
TXN000219,CUST00447,201,1,3,200,1,768.7666536,0.036,0
TXN000220,CUST00927,202,7,3,201,3,4853.600153,0.15,0
TXN000221,CUST00464,203,5,3,202,4,4664.311469,0.375,0
TXN000222,CUST00690,204,3,1,203,5,4149.951182,0.444,0
TXN000223,CUST00431,205,6,2,204,1,1974.690752,0.426,0
TXN000224,CUST00330,206,9,3,205,4,4050.13208,0.489,0
TXN000225,CUST00311,207,1,2,206,3,1233.489549,0.336,0
TXN000226,CUST00139,208,9,2,207,1,3116.996916,0.394,0
TXN000227,CUST00872,148,2,2,208,1,1937.223496,0.025,0
TXN000228,CUST00712,209,5,2,209,3,4045.514384,0.122,0
TXN000229,CUST00374,210,6,3,210,1,1561.700886,0.305,0
TXN000230,CUST00265,211,2,1,211,1,322.8036298,0.355,0
TXN000231,CUST00265,212,1,1,211,3,2638.869326,0.182,0
TXN000232,CUST00260,213,10,3,212,1,2658.441696,0.063,0
TXN000233,CUST00267,214,1,1,74,4,1832.052955,0.619,0
TXN000234,CUST00100,215,10,3,213,3,1217.177278,0.182,0
TXN000235,CUST00288,216,4,3,214,4,2840.476837,0.254,0
TXN000236,CUST00693,77,1,3,215,1,930.105557,0.224,0
TXN000237,CUST00435,217,1,1,216,2,2428.064685,0.567,0
TXN000238,CUST00917,218,8,2,217,4,972.5216943,0.249,0
TXN000239,CUST00440,219,6,2,218,3,2618.150055,0,0
TXN000240,CUST00458,220,10,1,219,3,1992.219005,0.711,0
TXN000241,CUST00141,221,3,3,220,4,3696.668726,0.445,0
TXN000242,CUST00793,222,4,1,221,3,3960.962643,0.176,0
TXN000243,CUST00518,223,3,2,222,2,3426.282127,0.294,0
TXN000244,CUST00966,224,6,1,223,4,3950.906778,0.236,0
TXN000245,CUST00917,225,5,2,217,4,4534.647648,0.338,0
TXN000246,CUST00527,226,9,2,224,3,3884.980899,0.247,0
TXN000247,CUST00158,227,5,3,225,3,2690.504303,0.272,0
TXN000248,CUST00940,212,2,1,23,3,1431.561453,0.147,0
TXN000249,CUST00817,228,2,2,226,4,1897.760914,0.627,0
TXN000250,CUST00631,229,1,1,227,3,4489.517503,0.366,0
TXN000251,CUST00275,230,2,1,228,4,4161.702228,0.258,0
TXN000252,CUST00899,231,3,1,229,1,4487.202223,0.138,0
TXN000253,CUST00941,232,10,3,230,3,3789.837772,0.631,0
TXN000254,CUST00440,233,10,2,218,2,3956.69525,0.051,0
TXN000255,CUST00503,234,7,1,231,4,3735.35337,0.122,0
TXN000256,CUST00023,68,6,1,106,5,4513.672785,0.169,0
TXN000257,CUST00235,235,9,3,232,4,3370.013749,0.227,0
TXN000258,CUST00560,236,3,1,56,5,4949.480183,0.179,0
TXN000259,CUST00755,237,8,1,233,1,2000.868587,0.254,0
TXN000260,CUST00721,238,8,2,234,1,2874.702502,0.197,0
TXN000261,CUST00624,239,4,1,235,1,3210.491277,0.465,0
TXN000262,CUST00184,240,3,1,236,4,4536.274398,0.337,0
TXN000263,CUST00558,241,1,3,158,4,1120.719154,0,0
TXN000264,CUST00587,242,1,2,71,2,3531.321677,0.193,0
TXN000265,CUST00573,243,8,1,237,3,1441.945473,0.295,0
TXN000266,CUST00342,244,10,1,144,4,1556.752546,0.352,0
TXN000267,CUST00818,245,10,3,238,1,3690.49029,0.307,0
TXN000268,CUST00758,246,3,1,239,2,227.5764182,0.27,0
TXN000269,CUST00376,247,7,2,240,3,4411.61048,0.402,0
TXN000270,CUST00506,248,8,1,241,5,1101.575034,0.376,0
TXN000271,CUST00866,249,4,2,51,4,1112.971135,0.303,0
TXN000272,CUST00304,250,10,1,91,4,3517.269851,0.461,0
TXN000273,CUST00604,251,6,1,242,1,68.16687759,0.11,0
TXN000274,CUST00351,252,2,3,243,4,3608.638722,0.271,0
TXN000275,CUST00586,253,3,3,244,3,1739.47977,0.394,0
TXN000276,CUST00777,254,2,1,47,1,656.8831314,0.546,0
TXN000277,CUST00720,255,7,3,114,4,1714.880306,0.196,0
TXN000278,CUST00951,122,3,3,245,1,2495.330387,0,0
TXN000279,CUST00055,256,2,1,246,4,1949.669337,0.338,0
TXN000280,CUST00669,244,10,2,247,3,3904.298067,0.38,0
TXN000281,CUST00289,257,7,1,248,5,1514.238388,0.281,0
TXN000282,CUST00378,258,3,1,249,5,2678.986411,0.282,0
TXN000283,CUST00878,66,10,3,250,2,1238.189156,0.303,0
TXN000284,CUST00535,259,5,1,251,2,3621.137403,0.335,0
TXN000285,CUST00998,260,4,2,252,1,2424.593184,0.352,0
TXN000286,CUST00570,199,9,3,253,4,3837.697837,0.526,0
TXN000287,CUST00010,261,9,3,254,2,2839.425569,0.461,0
TXN000288,CUST00540,73,9,3,255,5,360.6721335,0.205,0
TXN000289,CUST00114,262,8,2,256,4,549.7399425,0.32,0
TXN000290,CUST00387,135,7,3,257,1,1352.687369,0.526,0
TXN000291,CUST00759,125,4,1,258,1,2001.582898,0.211,0
TXN000292,CUST00066,263,10,1,259,4,1859.245362,0.575,0
TXN000293,CUST00836,264,4,1,260,5,754.6440385,0.163,0
TXN000294,CUST00491,265,9,3,4,2,3016.679277,0.433,0
TXN000295,CUST00815,266,5,2,88,5,1115.24095,0.558,0
TXN000296,CUST00877,267,9,3,261,4,3791.493041,0.385,0
TXN000297,CUST00678,268,5,3,262,1,2380.070185,0.378,0
TXN000298,CUST00772,269,3,1,263,5,3749.084888,0.363,0
TXN000299,CUST00421,263,6,3,264,2,3976.778809,0.155,0
TXN000300,CUST00222,270,8,1,155,1,1561.171999,0.33,0
TXN000301,CUST00708,271,5,3,265,4,3583.812846,0.074,0
TXN000302,CUST00232,272,10,2,266,4,3434.006806,0.575,0
TXN000303,CUST00391,273,2,3,267,4,4163.219037,0.529,0
TXN000304,CUST00057,26,8,3,44,2,4497.791344,0.313,0
TXN000305,CUST00263,162,2,2,268,1,3450.9514,0.309,0
TXN000306,CUST00196,274,5,3,32,2,834.0870404,0.323,0
TXN000307,CUST00511,275,2,1,269,5,2672.034723,0.087,0
TXN000308,CUST00751,31,2,2,57,2,4216.59104,0.101,0
TXN000309,CUST00623,276,8,2,270,5,347.3492364,0.177,0
TXN000310,CUST00252,277,10,3,271,1,2411.0974,0.372,0
TXN000311,CUST00323,278,6,3,52,3,1036.186997,0.522,0
TXN000312,CUST00257,279,5,2,272,3,252.1540722,0.446,0
TXN000313,CUST00028,280,1,2,273,3,4254.592263,0.272,0
TXN000314,CUST00848,281,3,3,274,3,1140.758869,0.355,0
TXN000315,CUST00552,282,4,2,24,5,4933.792697,0.33,0
TXN000316,CUST00427,283,4,3,275,1,3318.316777,0.261,0
TXN000317,CUST00183,284,4,1,276,2,2277.640959,0.205,0
TXN000318,CUST00986,285,7,3,166,4,2716.505222,0.258,0
TXN000319,CUST00857,286,10,3,277,1,137.4825389,0.505,0
TXN000320,CUST00988,287,1,2,278,4,2992.724149,0.341,0
TXN000321,CUST00287,270,2,1,159,2,2386.741108,0.062,0
TXN000322,CUST00919,288,3,2,279,2,353.887517,0.378,0
TXN000323,CUST00791,289,9,3,280,2,4865.144627,0.532,0
TXN000324,CUST00463,290,10,2,124,5,4294.960395,0.033,0
TXN000325,CUST00030,291,8,3,281,4,2664.647446,0.071,0
TXN000326,CUST00720,292,5,2,114,5,4072.560075,0.554,0
TXN000327,CUST00982,293,7,3,282,2,379.9642836,0,0
TXN000328,CUST00114,294,8,3,256,5,3647.062036,0.305,0
TXN000329,CUST00720,248,9,3,114,1,1943.786913,0.203,0
TXN000330,CUST00970,295,4,1,283,2,1164.481955,0.123,0
TXN000331,CUST00259,296,2,3,284,3,4234.362616,0.158,0
TXN000332,CUST00335,292,2,2,285,1,331.480114,0.575,0
TXN000333,CUST00751,297,10,3,57,5,1698.400106,0.085,0
TXN000334,CUST00885,298,6,2,286,4,4711.180791,0.236,0
TXN000335,CUST00392,299,10,2,287,5,1659.696517,0.263,0
TXN000336,CUST00388,300,3,1,288,4,1129.061832,0.332,0
TXN000337,CUST00832,301,7,2,289,1,3848.512571,0.259,0
TXN000338,CUST00023,90,9,3,106,1,2394.821116,0.175,0
TXN000339,CUST00977,302,3,1,290,2,122.7524128,0.105,0
TXN000340,CUST00989,303,3,1,291,4,2200.15443,0.409,0
TXN000341,CUST00934,165,8,1,48,4,2128.51909,0.237,0
TXN000342,CUST00618,304,7,2,292,1,1344.869637,0.525,0
TXN000343,CUST00596,305,5,1,293,2,2860.719492,0.283,0
TXN000344,CUST00496,306,3,1,294,1,700.8126556,0.47,0
TXN000345,CUST00473,307,5,3,295,1,3307.500837,0.27,0
TXN000346,CUST00315,308,10,3,121,3,1882.020811,0.353,0
TXN000347,CUST00584,309,5,2,60,5,3593.253588,0.744,0
TXN000348,CUST00506,310,7,3,241,4,923.4689451,0.34,0
TXN000349,CUST00579,311,4,3,296,1,2829.890848,0.269,0
TXN000350,CUST00321,312,1,2,297,5,1977.903254,0.403,0
TXN000351,CUST00044,313,4,1,298,3,3051.883474,0.404,0
TXN000352,CUST00305,314,3,2,299,5,529.365663,0.328,0
TXN000353,CUST00958,315,6,3,12,3,2157.219842,0.462,0
TXN000354,CUST00371,316,1,3,300,5,1651.834752,0.02,0
TXN000355,CUST00291,317,6,1,301,2,4531.883699,0.22,0
TXN000356,CUST00583,59,1,3,154,3,2553.175958,0.453,0
TXN000357,CUST00624,318,6,2,235,4,4534.40255,0.449,0
TXN000358,CUST00659,319,9,1,302,5,1165.053252,0.572,0
TXN000359,CUST00556,320,4,3,303,5,1218.186587,0.172,0
TXN000360,CUST00639,321,8,1,304,1,4748.463133,0.273,0
TXN000361,CUST00499,322,7,2,305,5,2839.307486,0.37,0
TXN000362,CUST00828,323,9,2,306,4,1462.23673,0.27,0
TXN000363,CUST00396,324,4,3,145,1,892.3355289,0.091,0
TXN000364,CUST00442,325,6,3,307,2,2501.469423,0.436,0
TXN000365,CUST00837,326,2,2,308,1,405.6098502,0.495,0
TXN000366,CUST00718,327,1,1,173,3,1090.055687,0.505,0
TXN000367,CUST00901,243,1,2,309,1,2609.385689,0.413,0
TXN000368,CUST00765,42,1,3,59,2,1089.314059,0.434,0
TXN000369,CUST00612,91,1,3,310,1,2866.01663,0.672,0
TXN000370,CUST00201,328,6,3,311,1,2859.020004,0.147,0
TXN000371,CUST00791,329,10,2,280,1,1456.41111,0.254,0
TXN000372,CUST00132,330,2,1,312,5,997.1956658,0.256,0
TXN000373,CUST00840,99,8,2,313,5,3976.007624,0.252,0
TXN000374,CUST00160,331,4,3,175,3,343.0408524,0.728,0
TXN000375,CUST00948,332,10,2,27,3,4118.449447,0.252,0
TXN000376,CUST00592,333,9,1,314,4,4813.296455,0.115,0
TXN000377,CUST00915,334,3,2,315,5,3893.378532,0.215,0
TXN000378,CUST00643,335,9,2,316,3,2652.233285,0.164,0
TXN000379,CUST00734,260,1,1,317,1,4509.545084,0.25,0
TXN000380,CUST00982,336,5,2,282,1,1129.872558,0.437,0
TXN000381,CUST00449,135,10,2,318,2,1185.931892,0.543,0
TXN000382,CUST00531,337,9,2,319,5,3449.028811,0.362,0
TXN000383,CUST00613,338,9,1,320,4,4975.462702,0.082,0
TXN000384,CUST00033,339,4,2,321,1,2326.697144,0.686,0
TXN000385,CUST00371,340,6,1,300,5,2427.844338,0.601,0
TXN000386,CUST00265,341,4,1,211,4,4070.626552,0.128,0
TXN000387,CUST00852,342,5,2,322,5,1298.820566,0.236,0
TXN000388,CUST00150,55,9,2,323,4,1284.63374,0.261,0
TXN000389,CUST00056,100,7,3,324,4,1902.458595,0.048,0
TXN000390,CUST00150,343,10,2,323,3,4916.943888,0.029,0
TXN000391,CUST00338,344,10,3,325,3,4753.089456,0.59,0
TXN000392,CUST00506,307,6,3,241,3,3348.303323,0.189,0
TXN000393,CUST00055,345,9,1,246,1,1510.172894,0.407,0
TXN000394,CUST00440,346,3,3,218,1,1133.869882,0.507,0
TXN000395,CUST00533,347,5,1,183,5,3843.036837,0.585,0
TXN000396,CUST00940,348,9,1,23,4,2027.247102,0.34,0
TXN000397,CUST00244,349,7,2,326,5,2543.227151,0.047,0
TXN000398,CUST00949,299,8,1,187,1,390.9163399,0.457,0
TXN000399,CUST00070,350,2,1,133,3,3265.687757,0.153,0
TXN000400,CUST00649,351,6,3,327,2,366.4366017,0.358,0
TXN000401,CUST00812,352,6,2,328,4,2964.641003,0.317,0
TXN000402,CUST00504,353,2,3,147,1,4414.705024,0,0
TXN000403,CUST00114,354,2,2,256,2,2981.520723,0.099,0
TXN000404,CUST00293,355,2,3,329,2,4856.065545,0.107,0
TXN000405,CUST00993,53,5,3,330,4,3406.812034,0.283,0
TXN000406,CUST00911,47,2,2,331,1,1894.213893,0.366,0
TXN000407,CUST00338,356,1,3,325,5,3883.029073,0.498,0
TXN000408,CUST00803,357,6,3,332,4,1955.368605,0,0
